state,district,police,fire,ambulance,tourist_helpline,women_helpline,childline,disaster_mgmt,road_accident,rail_accident
Karnataka,Bengaluru Urban,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Mysuru,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Kodagu,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Mangaluru,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Belagavi,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Hubballi,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Dharwad,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Shivamogga,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Udupi,100,101,102,1363,1091,1098,108,1073,1072
Karnataka,Chikkamagaluru,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Jaipur,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Jodhpur,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Udaipur,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Ajmer,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Bikaner,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Kota,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Alwar,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Pushkar,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Barmer,100,101,102,1363,1091,1098,108,1073,1072
Rajasthan,Jaisalmer,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Gangtok,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Namchi,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Gyalshing,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Mangan,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Singtam,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Rangpo,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Pakyong,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Yuksom,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Soreng,100,101,102,1363,1091,1098,108,1073,1072
Sikkim,Lachen,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Dehradun,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Nainital,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Haridwar,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Rishikesh,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Almora,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Pithoragarh,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Tehri Garhwal,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Pauri,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Mussoorie,100,101,102,1363,1091,1098,108,1073,1072
Uttarakhand,Chamoli,100,101,102,1363,1091,1098,108,1073,1072
Assam,Guwahati,100,101,102,1363,1091,1098,108,1073,1072
Assam,Kaziranga,100,101,102,1363,1091,1098,108,1073,1072
Assam,Dibrugarh,100,101,102,1363,1091,1098,108,1073,1072
Assam,Silchar,100,101,102,1363,1091,1098,108,1073,1072
Assam,Tinsukia,100,101,102,1363,1091,1098,108,1073,1072
