language,english_phrase,translation
English,Call emergency services,Call emergency services
Hindi,Call emergency services,आपातकालीन सेवाओं को कॉल करें
Bengali,Call emergency services,জরুরী পরিষেবা কল করুন
Tamil,Call emergency services,அவசர சேவைகளை அழைக்கவும்
Telugu,Call emergency services,అత్యవసర సేవలను కాల్ చేయండి
Marathi,Call emergency services,आपत्कालीन सेवांना कॉल करा
Gujarati,Call emergency services,આપાતકાલીન સેવાઓને કોલ કરો
Kannada,Call emergency services,ತುರ್ತು ಸೇವೆಗಳನ್ನು ಕರೆಮಾಡಿ
Malayalam,Call emergency services,അടിയന്തര സേവനങ്ങളെ വിളിക്കുക
Punjabi,Call emergency services,ਐਮਰਜੈਂਸੀ ਸੇਵਾਵਾਂ ਨੂੰ ਕਾਲ ਕਰੋ
English,Stay on marked trails,Stay on marked trails
Hindi,Stay on marked trails,चिह्नित रास्तों पर रहें
Bengali,Stay on marked trails,চিহ্নিত পথগুলিতে থাকুন
Tamil,Stay on marked trails,குறிப்பிடப்பட்ட பாதைகளில் இருங்கள்
Telugu,Stay on marked trails,మార్క్ చేసిన మార్గాల్లో ఉండండి
Marathi,Stay on marked trails,चिन्हांकित मार्गांवर रहा
Gujarati,Stay on marked trails,ચિહ્નિત માર્ગ પર રહો
Kannada,Stay on marked trails,ಗುರುತಿಸಲಾದ ಹಾದಿಗಳಲ್ಲಿ ಇರಿ
Malayalam,Stay on marked trails,അടയാളപ്പെടുത്തിയ പാതകളിൽ തുടരുക
Punjabi,Stay on marked trails,ਨਿਰਧਾਰਤ ਟ੍ਰੇਲਾਂ ਤੇ ਰਹੋ
English,Keep valuables secure,Keep valuables secure
Hindi,Keep valuables secure,कीमती सामान सुरक्षित रखें
Bengali,Keep valuables secure,মূল্যবান জিনিসপত্র সুরক্ষিত রাখুন
Tamil,Keep valuables secure,மதிப்புள்ள பொருட்களை பாதுகாப்பாக வைத்திருக்கவும்
Telugu,Keep valuables secure,విలువైన వస్తువులను భద్రపరచండి
Marathi,Keep valuables secure,किंमती वस्तू सुरक्षित ठेवा
Gujarati,Keep valuables secure,કિંમતી વસ્તુઓ સુરક્ષિત રાખો
Kannada,Keep valuables secure,ಮೊತ್ತದ ವಸ್ತುಗಳನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಇಡಿ
Malayalam,Keep valuables secure,വിലപ്പെട്ട വസ്തുക്കൾ സുരക്ഷിതമായി സൂക്ഷിക്കുക
Punjabi,Keep valuables secure,ਕੀਮਤੀ ਸਮਾਨ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖੋ
English,Inform someone of your plans,Inform someone of your plans
Hindi,Inform someone of your plans,अपनी योजनाओं के बारे में किसी को बताएं
