id,situation,response
1,Lost in forest near a waterfall,Stay put near the waterfall and signal with a whistle every 6 minutes.
2,Injured during trek around kilometer 2,Apply pressure to the wound at kilometer 2 and await rescue.
3,Phone battery dead while camping at 9pm,Remain at your campsite until help arrives; your last ping was at 9pm.
4,Stranger following me through a village road,Head toward a crowded area away from the village road and contact authorities.
5,Floodwaters rising near the rocky ridge,Move to higher ground away from the rocky ridge and wait for rescue.
6,Caught in wildfire close to a watchtower,Cover your nose and move opposite the wind near the watchtower.
7,Vehicle breakdown at 8am on hill route,Stay inside the vehicle on hill route and call roadside assistance.
8,Severe dehydration after 5 hours of hiking,Sip water slowly after hiking 5 hours and rest in shade.
9,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
10,Wild animal nearby while resting near a valley,Back away from the valley slowly and alert rangers immediately.
11,Lost in forest near a cliff,Stay put near the cliff and signal with a whistle every 10 minutes.
12,Injured during trek around kilometer 12,Apply pressure to the wound at kilometer 12 and await rescue.
13,Phone battery dead while camping at 7pm,Remain at your campsite until help arrives; your last ping was at 7pm.
14,Stranger following me through a village road,Head toward a crowded area away from the village road and contact authorities.
15,Floodwaters rising near the river,Move to higher ground away from the river and wait for rescue.
16,Caught in wildfire close to a old fort,Cover your nose and move opposite the wind near the old fort.
17,Vehicle breakdown at 6am on desert highway,Stay inside the vehicle on desert highway and call roadside assistance.
18,Severe dehydration after 3 hours of hiking,Sip water slowly after hiking 3 hours and rest in shade.
19,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
20,Wild animal nearby while resting near a ridge,Back away from the ridge slowly and alert rangers immediately.
21,Lost in forest near a dense grove,Stay put near the dense grove and signal with a whistle every 8 minutes.
22,Injured during trek around kilometer 22,Apply pressure to the wound at kilometer 22 and await rescue.
23,Phone battery dead while camping at 17pm,Remain at your campsite until help arrives; your last ping was at 17pm.
24,Stranger following me through a village road,Head toward a crowded area away from the village road and contact authorities.
25,Floodwaters rising near the dense grove,Move to higher ground away from the dense grove and wait for rescue.
26,Caught in wildfire close to a campsite,Cover your nose and move opposite the wind near the campsite.
27,Vehicle breakdown at 4am on forest road,Stay inside the vehicle on forest road and call roadside assistance.
28,Severe dehydration after 7 hours of hiking,Sip water slowly after hiking 7 hours and rest in shade.
29,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
30,Wild animal nearby while resting near a stream,Back away from the stream slowly and alert rangers immediately.
31,Lost in forest near a cliff,Stay put near the cliff and signal with a whistle every 6 minutes.
32,Injured during trek around kilometer 32,Apply pressure to the wound at kilometer 32 and await rescue.
33,Phone battery dead while camping at 15pm,Remain at your campsite until help arrives; your last ping was at 15pm.
34,Stranger following me through a suburban street,Head toward a crowded area away from the suburban street and contact authorities.
35,Floodwaters rising near the river,Move to higher ground away from the river and wait for rescue.
36,Caught in wildfire close to a campsite,Cover your nose and move opposite the wind near the campsite.
37,Vehicle breakdown at 2am on hill route,Stay inside the vehicle on hill route and call roadside assistance.
38,Severe dehydration after 5 hours of hiking,Sip water slowly after hiking 5 hours and rest in shade.
39,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
40,Wild animal nearby while resting near a valley,Back away from the valley slowly and alert rangers immediately.
41,Lost in forest near a waterfall,Stay put near the waterfall and signal with a whistle every 10 minutes.
42,Injured during trek around kilometer 42,Apply pressure to the wound at kilometer 42 and await rescue.
43,Phone battery dead while camping at 13pm,Remain at your campsite until help arrives; your last ping was at 13pm.
44,Stranger following me through a city market,Head toward a crowded area away from the city market and contact authorities.
45,Floodwaters rising near the rocky ridge,Move to higher ground away from the rocky ridge and wait for rescue.
46,Caught in wildfire close to a bridge,Cover your nose and move opposite the wind near the bridge.
47,Vehicle breakdown at 12am on coastal road,Stay inside the vehicle on coastal road and call roadside assistance.
48,Severe dehydration after 3 hours of hiking,Sip water slowly after hiking 3 hours and rest in shade.
49,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
50,Wild animal nearby while resting near a clearing,Back away from the clearing slowly and alert rangers immediately.
51,Lost in forest near a dense grove,Stay put near the dense grove and signal with a whistle every 8 minutes.
52,Injured during trek around kilometer 52,Apply pressure to the wound at kilometer 52 and await rescue.
53,Phone battery dead while camping at 11pm,Remain at your campsite until help arrives; your last ping was at 11pm.
54,Stranger following me through a village road,Head toward a crowded area away from the village road and contact authorities.
55,Floodwaters rising near the river,Move to higher ground away from the river and wait for rescue.
56,Caught in wildfire close to a old fort,Cover your nose and move opposite the wind near the old fort.
57,Vehicle breakdown at 10am on forest road,Stay inside the vehicle on forest road and call roadside assistance.
58,Severe dehydration after 7 hours of hiking,Sip water slowly after hiking 7 hours and rest in shade.
59,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
60,Wild animal nearby while resting near a clearing,Back away from the clearing slowly and alert rangers immediately.
61,Lost in forest near a waterfall,Stay put near the waterfall and signal with a whistle every 6 minutes.
62,Injured during trek around kilometer 62,Apply pressure to the wound at kilometer 62 and await rescue.
63,Phone battery dead while camping at 9pm,Remain at your campsite until help arrives; your last ping was at 9pm.
64,Stranger following me through a city market,Head toward a crowded area away from the city market and contact authorities.
65,Floodwaters rising near the cliff,Move to higher ground away from the cliff and wait for rescue.
66,Caught in wildfire close to a watchtower,Cover your nose and move opposite the wind near the watchtower.
67,Vehicle breakdown at 8am on coastal road,Stay inside the vehicle on coastal road and call roadside assistance.
68,Severe dehydration after 5 hours of hiking,Sip water slowly after hiking 5 hours and rest in shade.
69,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
70,Wild animal nearby while resting near a cave,Back away from the cave slowly and alert rangers immediately.
71,Lost in forest near a rocky ridge,Stay put near the rocky ridge and signal with a whistle every 10 minutes.
72,Injured during trek around kilometer 72,Apply pressure to the wound at kilometer 72 and await rescue.
73,Phone battery dead while camping at 7pm,Remain at your campsite until help arrives; your last ping was at 7pm.
74,Stranger following me through a suburban street,Head toward a crowded area away from the suburban street and contact authorities.
75,Floodwaters rising near the river,Move to higher ground away from the river and wait for rescue.
76,Caught in wildfire close to a watchtower,Cover your nose and move opposite the wind near the watchtower.
77,Vehicle breakdown at 6am on coastal road,Stay inside the vehicle on coastal road and call roadside assistance.
78,Severe dehydration after 3 hours of hiking,Sip water slowly after hiking 3 hours and rest in shade.
79,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
80,Wild animal nearby while resting near a valley,Back away from the valley slowly and alert rangers immediately.
81,Lost in forest near a waterfall,Stay put near the waterfall and signal with a whistle every 8 minutes.
82,Injured during trek around kilometer 82,Apply pressure to the wound at kilometer 82 and await rescue.
83,Phone battery dead while camping at 17pm,Remain at your campsite until help arrives; your last ping was at 17pm.
84,Stranger following me through a city market,Head toward a crowded area away from the city market and contact authorities.
85,Floodwaters rising near the waterfall,Move to higher ground away from the waterfall and wait for rescue.
86,Caught in wildfire close to a bridge,Cover your nose and move opposite the wind near the bridge.
87,Vehicle breakdown at 4am on forest road,Stay inside the vehicle on forest road and call roadside assistance.
88,Severe dehydration after 7 hours of hiking,Sip water slowly after hiking 7 hours and rest in shade.
89,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
90,Wild animal nearby while resting near a stream,Back away from the stream slowly and alert rangers immediately.
91,Lost in forest near a rocky ridge,Stay put near the rocky ridge and signal with a whistle every 6 minutes.
92,Injured during trek around kilometer 92,Apply pressure to the wound at kilometer 92 and await rescue.
93,Phone battery dead while camping at 15pm,Remain at your campsite until help arrives; your last ping was at 15pm.
94,Stranger following me through a city market,Head toward a crowded area away from the city market and contact authorities.
95,Floodwaters rising near the rocky ridge,Move to higher ground away from the rocky ridge and wait for rescue.
96,Caught in wildfire close to a bridge,Cover your nose and move opposite the wind near the bridge.
97,Vehicle breakdown at 2am on coastal road,Stay inside the vehicle on coastal road and call roadside assistance.
98,Severe dehydration after 5 hours of hiking,Sip water slowly after hiking 5 hours and rest in shade.
99,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
100,Wild animal nearby while resting near a clearing,Back away from the clearing slowly and alert rangers immediately.
101,Lost in forest near a rocky ridge,Stay put near the rocky ridge and signal with a whistle every 10 minutes.
102,Injured during trek around kilometer 102,Apply pressure to the wound at kilometer 102 and await rescue.
103,Phone battery dead while camping at 13pm,Remain at your campsite until help arrives; your last ping was at 13pm.
104,Stranger following me through a village road,Head toward a crowded area away from the village road and contact authorities.
105,Floodwaters rising near the waterfall,Move to higher ground away from the waterfall and wait for rescue.
106,Caught in wildfire close to a bridge,Cover your nose and move opposite the wind near the bridge.
107,Vehicle breakdown at 12am on highway 48,Stay inside the vehicle on highway 48 and call roadside assistance.
108,Severe dehydration after 3 hours of hiking,Sip water slowly after hiking 3 hours and rest in shade.
109,Heatstroke symptoms while walking in 44C heat,Cool your body in the 44C heat with damp cloths and await medical support.
110,Wild animal nearby while resting near a stream,Back away from the stream slowly and alert rangers immediately.
111,Lost in forest near a river,Stay put near the river and signal with a whistle every 8 minutes.
112,Injured during trek around kilometer 112,Apply pressure to the wound at kilometer 112 and await rescue.
113,Phone battery dead while camping at 11pm,Remain at your campsite until help arrives; your last ping was at 11pm.
